generation,post_year,mean_ratio,n_obs,n_authors,total_det_mistake
1970-1979,2003,0.09907120743034056,1615,56,160
1980-1989,2004,0.2188251804330393,9976,201,2183
1970-1979,2004,0.14856030045903465,14378,225,2136
Före 1970,2004,0.12866015971606035,2254,35,290
1980-1989,2005,0.2900174184635714,33298,442,9657
1970-1979,2005,0.1229920116194626,34425,385,4234
Före 1970,2005,0.24471992653810837,4356,57,1066
1980-1989,2006,0.3500414900536007,89178,806,31216
1970-1979,2006,0.1124153143217268,63470,561,7135
Före 1970,2006,0.21350078492935637,7644,79,1632
1980-1989,2007,0.37017992644462244,116103,1141,42979
1970-1979,2007,0.15018918950976787,84307,769,12662
Före 1970,2007,0.42413765377502616,12437,105,5275
Från 1990,2008,0.15546218487394958,2618,24,407
1980-1989,2008,0.41839943342776204,141200,1474,59078
1970-1979,2008,0.1534061013154212,89325,846,13703
Före 1970,2008,0.274959280931411,16577,111,4558
Från 1990,2009,0.2902959848297469,12129,72,3521
1980-1989,2009,0.38692196098648796,166814,1821,64544
1970-1979,2009,0.14112539107750405,109633,939,15472
Före 1970,2009,0.2472902640500406,20943,128,5179
Från 1990,2010,0.3735495020985927,12151,136,4539
1980-1989,2010,0.3586651984221017,143482,1856,51462
1970-1979,2010,0.1577242535385236,79341,928,12514
Före 1970,2010,0.1683194711025805,18756,136,3157
Från 1990,2011,0.37592014971927634,16030,193,6026
1980-1989,2011,0.3237381410581046,148095,1913,47944
1970-1979,2011,0.11780731315549117,63502,890,7481
Före 1970,2011,0.194589774078478,16820,107,3273
Från 1990,2012,0.4439508452085617,17333,199,7695
1980-1989,2012,0.2803848929516478,103925,1695,29139
1970-1979,2012,0.09975929978118162,45700,737,4559
Före 1970,2012,0.10935184462990406,12821,86,1402
Från 1990,2013,0.37535950252623396,12865,179,4829
1980-1989,2013,0.26959552416766025,54515,1246,14697
1970-1979,2013,0.10465448898696417,24471,560,2561
Före 1970,2013,0.09726007746377852,6971,65,678
Från 1990,2014,0.4597720138774162,6053,155,2783
1980-1989,2014,0.2248627683002991,30423,842,6841
1970-1979,2014,0.08362628447809627,14792,362,1237
Före 1970,2014,0.16809815950920245,5705,58,959
Från 1990,2015,0.3159591617409995,3722,142,1176
1980-1989,2015,0.20270270270270271,22126,576,4485
1970-1979,2015,0.0978237904077752,9466,225,926
Före 1970,2015,0.08384146341463415,1312,36,110
Från 1990,2016,0.46150341685649204,4390,113,2026
1980-1989,2016,0.1667804478427089,14648,414,2443
1970-1979,2016,0.12630689618755941,9469,168,1196
Före 1970,2016,0.06290417401528513,1701,27,107
Från 1990,2017,0.3730118009235505,3898,118,1454
1980-1989,2017,0.17096981374438022,15570,359,2662
1970-1979,2017,0.11204594017094018,7488,144,839
Före 1970,2017,0.06774193548387097,3720,25,252
Från 1990,2018,0.3985358041638069,4371,93,1742
1980-1989,2018,0.13010819994634715,11183,271,1455
1970-1979,2018,0.06104265402843602,5275,98,322
Före 1970,2018,0.08277268093781855,4905,31,406
Från 1990,2019,0.28831256315257664,2969,72,856
1980-1989,2019,0.20791712911579727,10812,205,2248
1970-1979,2019,0.06524848051483732,5594,86,365
Före 1970,2019,0.08455249569707401,4648,25,393
Från 1990,2020,0.43330266789328425,2174,49,942
1980-1989,2020,0.13814731424895466,6218,161,859
1970-1979,2020,0.052204490127130104,3697,70,193
Från 1990,2021,0.644927536231884,1380,32,890
1980-1989,2021,0.13544668587896252,3470,100,470
1970-1979,2021,0.05311871227364185,2485,46,132
1980-1989,2022,0.14380530973451328,1808,67,260
1970-1979,2022,0.06002034587995931,983,35,59
