corpus,year,total,total_desom,proportion
Bloggmix,2006,806,344,0.4267990074441687
Bloggmix,2007,1686,830,0.49228944246737844
Bloggmix,2008,3224,1813,0.5623449131513648
Bloggmix,2009,5333,3200,0.6000375023438965
Bloggmix,2010,6462,3887,0.6015165583410709
Bloggmix,2011,6616,4127,0.6237908101571947
Bloggmix,2012,4970,3152,0.63420523138833
Bloggmix,2013,3866,2467,0.6381272633212622
Bloggmix,2014,2599,1645,0.632935744517122
Bloggmix,2015,1696,1081,0.6373820754716981
Bloggmix,2016,1191,734,0.6162888329135181
Familjeliv,2004,860,523,0.608139534883721
Familjeliv,2005,1938,1264,0.6522187822497421
Familjeliv,2006,3602,2265,0.6288173237090505
Familjeliv,2007,4111,2564,0.6236925322306008
Familjeliv,2008,3995,2487,0.6225281602002503
Familjeliv,2009,5155,3341,0.6481086323957324
Familjeliv,2010,3695,2376,0.6430311231393775
Familjeliv,2011,3666,2389,0.6516639388979815
Familjeliv,2012,2696,1757,0.651706231454006
Familjeliv,2013,1448,1004,0.6933701657458563
Familjeliv,2014,950,709,0.7463157894736843
Familjeliv,2015,678,448,0.6607669616519174
Familjeliv,2016,549,383,0.697632058287796
Familjeliv,2017,593,443,0.7470489038785835
Familjeliv,2018,581,436,0.7504302925989673
Familjeliv,2019,519,356,0.6859344894026975
GP,2001,2481,347,0.13986295848448208
GP,2002,3143,445,0.14158447343302577
GP,2003,2823,317,0.11229188806234502
GP,2004,2925,300,0.10256410256410256
GP,2005,3220,283,0.08788819875776398
GP,2006,3043,325,0.10680249753532697
GP,2007,2790,242,0.08673835125448029
GP,2008,2241,212,0.09460062472110665
GP,2009,2399,242,0.10087536473530638
GP,2010,2576,498,0.19332298136645962
GP,2011,2841,648,0.22808870116156282
GP,2012,2504,656,0.26198083067092653
GP,2013,2526,674,0.2668250197941409
SVT,2005,528,100,0.1893939393939394
SVT,2006,654,179,0.27370030581039756
SVT,2007,901,368,0.40843507214206437
SVT,2008,1217,477,0.39194741166803615
SVT,2009,1506,607,0.4030544488711819
SVT,2010,1846,740,0.4008667388949079
SVT,2011,1817,822,0.4523940561364887
SVT,2012,1954,949,0.4856704196519959
SVT,2013,2750,1300,0.4727272727272727
SVT,2014,3248,1544,0.4753694581280788
SVT,2015,4282,2187,0.5107426436244745
SVT,2016,4835,2780,0.5749741468459152
SVT,2017,4714,2738,0.5808230801866779
SVT,2018,3803,2327,0.6118853536681568
SVT,2019,3516,2125,0.6043799772468714
SVT,2020,3563,2162,0.6067920291888858
SVT,2021,3340,2068,0.6191616766467066
SVT,2022,2769,1768,0.6384976525821596
