corpus,generation,post_year,total,total_dom,dom_ratio
Familjeliv,1970-1979,2003,2131,198,0.09291412482402628
Familjeliv,1980-1989,2003,616,98,0.1590909090909091
Familjeliv,Före 1970,2004,3530,866,0.2453257790368272
Familjeliv,1970-1979,2004,22553,5243,0.2324746153505077
Familjeliv,1980-1989,2004,16703,4832,0.28928934921870325
Familjeliv,Före 1970,2005,6281,1294,0.20601814997611845
Familjeliv,1970-1979,2005,49153,7982,0.1623909018778101
Familjeliv,1980-1989,2005,50530,11463,0.22685533346526815
Familjeliv,Före 1970,2006,11286,2383,0.21114655325181642
Familjeliv,1970-1979,2006,88997,11768,0.13222917626436848
Familjeliv,1980-1989,2006,128882,24964,0.1936965596437051
Familjeliv,Före 1970,2007,17945,3729,0.20780161604903874
Familjeliv,1970-1979,2007,122673,20242,0.16500778492414794
Familjeliv,1980-1989,2007,172054,37370,0.21719925139781696
Familjeliv,Före 1970,2008,22548,3768,0.16711016498137307
Familjeliv,1970-1979,2008,126262,19994,0.15835326543219655
Familjeliv,1980-1989,2008,210802,47667,0.2261221430536712
Familjeliv,Från 1990,2008,3576,346,0.09675615212527965
Familjeliv,Före 1970,2009,30749,6160,0.2003317181046538
Familjeliv,1970-1979,2009,153303,22836,0.1489599029373202
Familjeliv,1980-1989,2009,247935,54364,0.2192671466311735
Familjeliv,Från 1990,2009,17384,3384,0.1946617579383341
Familjeliv,Före 1970,2010,26985,5051,0.1871780618862331
Familjeliv,1970-1979,2010,108540,15920,0.1466740372213009
Familjeliv,1980-1989,2010,209978,44988,0.21425101677318575
Familjeliv,Från 1990,2010,18254,3901,0.21370658485811328
Familjeliv,Före 1970,2011,22442,2530,0.11273505035201854
Familjeliv,1970-1979,2011,88283,13467,0.1525435248009243
Familjeliv,1980-1989,2011,216079,41557,0.19232317809689975
Familjeliv,Från 1990,2011,24863,6475,0.26042714073120704
Familjeliv,Före 1970,2012,15694,835,0.05320504651459156
Familjeliv,1970-1979,2012,60680,6167,0.10163150955833883
Familjeliv,1980-1989,2012,147827,25676,0.17368951544711048
Familjeliv,Från 1990,2012,25707,4985,0.19391605399307582
Familjeliv,Före 1970,2013,8987,939,0.10448425503505063
Familjeliv,1970-1979,2013,32809,4013,0.12231399920753452
Familjeliv,1980-1989,2013,77060,12878,0.1671165325720218
Familjeliv,Från 1990,2013,17986,3181,0.1768597798287557
Familjeliv,Före 1970,2014,8054,1598,0.19841072758877576
Familjeliv,1970-1979,2014,18986,1666,0.08774886758664278
Familjeliv,1980-1989,2014,41603,6404,0.15393120688411893
Familjeliv,Från 1990,2014,9509,2588,0.27216321379745506
Familjeliv,Före 1970,2015,1925,432,0.22441558441558443
Familjeliv,1970-1979,2015,12966,1610,0.12417090853000154
Familjeliv,1980-1989,2015,29599,4131,0.1395655258623602
Familjeliv,Från 1990,2015,6477,1995,0.3080129689671144
Familjeliv,Före 1970,2016,2194,187,0.08523245214220601
Familjeliv,1970-1979,2016,11658,754,0.06467661691542288
Familjeliv,1980-1989,2016,20309,3276,0.16130779457383426
Familjeliv,Från 1990,2016,6373,1558,0.24446885297348186
Familjeliv,Före 1970,2017,4887,283,0.05790873746674852
Familjeliv,1970-1979,2017,9323,735,0.07883728413600773
Familjeliv,1980-1989,2017,21029,2688,0.12782348185838605
Familjeliv,Från 1990,2017,5338,893,0.16729112026976395
Familjeliv,Före 1970,2018,6549,408,0.062299587723316535
Familjeliv,1970-1979,2018,6458,347,0.053731805512542585
Familjeliv,1980-1989,2018,15079,2017,0.13376218582134095
Familjeliv,Från 1990,2018,5881,900,0.153035198095562
Familjeliv,Före 1970,2019,6391,554,0.08668439993741199
Familjeliv,1970-1979,2019,7912,1317,0.16645601617795752
Familjeliv,1980-1989,2019,13767,1400,0.1016924529672405
Familjeliv,Från 1990,2019,4321,962,0.22263364961814394
Familjeliv,Före 1970,2020,7267,293,0.04031925141048576
Familjeliv,1970-1979,2020,4951,549,0.11088668955766512
Familjeliv,1980-1989,2020,8618,1484,0.17219772569041542
Familjeliv,Från 1990,2020,2665,187,0.0701688555347092
Familjeliv,1970-1979,2021,3073,249,0.08102831109664822
Familjeliv,1980-1989,2021,5262,1262,0.23983276320790575
Familjeliv,Från 1990,2021,1964,244,0.12423625254582485
Familjeliv,1970-1979,2022,1235,112,0.09068825910931175
Familjeliv,1980-1989,2022,2416,292,0.12086092715231789
